# FORGE PROTOCOL LOG | source=agent-host | encoding=utf-8
2026-08-30 11:57:20.935 +08:00 Asia/Shanghai | +10ms | R-agent-host-000003 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/configChanged","serverSeq":1}
2026-08-30 11:57:20.938 +08:00 Asia/Shanghai | +13ms | R-agent-host-000004 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/agentsChanged","serverSeq":2}
2026-08-30 11:57:20.938 +08:00 Asia/Shanghai | +13ms | R-agent-host-000005 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/configChanged","serverSeq":3}
2026-08-30 11:57:20.970 +08:00 Asia/Shanghai | +45ms | R-agent-host-000006 | CODEX.PROCESS.SPAWN | data={"binaryPath":"c:\\Project\\Forge_Duplicate2\\forge\\node_modules\\@openai\\codex-win32-x64\\vendor\\x86_64-pc-windows-msvc\\bin\\codex.exe","args":["app-server","-c","model_providers.vscode-proxy.name=\"VS Code Proxy\"","-c","model_providers.vscode-proxy.base_url=\"http://127.0.0.1:53595/v1\"","-c","model_providers.vscode-proxy.wire_api=\"responses\"","-c","model_providers.vscode-proxy.env_key=\"OPENAI_API_KEY\"","-c","model_providers.vscode-proxy.requires_openai_auth=false","-c","model_providers.vscode-proxy.supports_websockets=false","-c","shell_environment_policy.set.AI_AGENT=\"github_copilot_vscode_agent\"","-c","features.tool_call_mcp_elicitation=false","-c","features.apply_patch_streaming_events=true","-c","features.image_generation=false","-c","analytics.enabled=false","-c","feedback.enabled=false","-c","otel.log_user_prompt=false","-c","otel.trace_exporter=\"none\"","-c","otel.exporter=\"none\"","-c","otel.metrics_exporter=\"none\""],"codexHome":"C:\\Users\\Admin\\.forge\\codex"}
2026-08-30 11:57:20.976 +08:00 Asia/Shanghai | +51ms | R-agent-host-000007 | CODEX.RPC.SEND | data={"method":"initialize","id":1,"paramsKeys":["clientInfo","capabilities"],"identifiers":{},"hasResult":false}
2026-08-30 11:57:20.996 +08:00 Asia/Shanghai | +71ms | R-agent-host-000008 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/agentsChanged","serverSeq":4}
2026-08-30 11:57:21.016 +08:00 Asia/Shanghai | +91ms | R-agent-host-000009 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/configChanged","serverSeq":5,"origin":{"clientId":"f3f03c2f-204a-4fe5-b22f-f8a6316fdcbf","clientSeq":1}}
2026-08-30 11:57:21.017 +08:00 Asia/Shanghai | +92ms | R-agent-host-000010 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/configChanged","serverSeq":6,"origin":{"clientId":"f3f03c2f-204a-4fe5-b22f-f8a6316fdcbf","clientSeq":0}}
2026-08-30 11:57:21.018 +08:00 Asia/Shanghai | +93ms | R-agent-host-000011 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/configChanged","serverSeq":7,"origin":{"clientId":"f3f03c2f-204a-4fe5-b22f-f8a6316fdcbf","clientSeq":0}}
2026-08-30 11:57:21.019 +08:00 Asia/Shanghai | +94ms | R-agent-host-000012 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/configChanged","serverSeq":8,"origin":{"clientId":"f3f03c2f-204a-4fe5-b22f-f8a6316fdcbf","clientSeq":0}}
2026-08-30 11:57:21.020 +08:00 Asia/Shanghai | +95ms | R-agent-host-000013 | AHP.ACTION | data={"channel":"ahp-root://","type":"root/configChanged","serverSeq":9,"origin":{"clientId":"f3f03c2f-204a-4fe5-b22f-f8a6316fdcbf","clientSeq":0}}
